Company,Source / Entry point,Sector/Industry,HQ / Locations,Employee count / Size,Website,General email,Phone,LinkedIn URL,HR/People contact (name),HR contact title,HR contact email,HR mailbox (confirmed),HR contact email — inferred (pattern + basis),"CEO/Leadership (name, small cos)",Leadership email,Source(s),Relevance note,Status,All emails found (verbatim),Inferred emails (pattern + basis)
Solitium S.L. (Grupo Solitium),PLAZA Logística (plazalogistica.com),"Office services, IT & communications group (IT Services & Consulting)","PLAZA, Zaragoza — C/Bari 39, Parcela PE-5.2, 50197","501-1,000 (LinkedIn)",www.solitium.es,sac@gruposolitium.es,902 440 220,linkedin.com/company/gruposolitium,Silvia Armengol,"Recursos Humanos / Laboral, Grupo Solitium",Not published — LinkedIn only,No HR mailbox — web form (solitium.es/Unete.html) + InfoJobs,"silvia.armengol@solitium.es — INFERRED (pattern first.last 61.5%, RocketReach); alt sarmengol@solitium.es. Unverified.",,,"PLAZA directory; solitium.es; LinkedIn (people, unverified)","MED-HIGH. 500+ staff IT-services group, multi-site — relocation potential.",enriched,sac@gruposolitium.es; info@gruposolitium.es; privacidad@gruposolitium.es,silvia.armengol@solitium.es — first.last (RocketReach 61.5%; staff domain solitium.es) (UNVERIFIED)
Scati Labs,PLAZA Logística (plazalogistica.com),Smart video-surveillance / security manufacturer (Security & Investigations) — tech,"PLAZA, Zaragoza — C/Bari 23, 50197",51-200 (LinkedIn),www.scati.com,info@scati.com,,linkedin.com/company/scati-labs,Noemí Guiote Partido (+ Arancha Félix Abad),Human Resources Manager (Arancha: HR Administrative Specialist),Not published — LinkedIn only,No HR mailbox — web form (scati.com/empleo); general info@scati.com,"noemi.guiote@scati.com — INFERRED (pattern first.last 70%, RocketReach); alt nguiote@scati.com. Unverified.",,,"PLAZA directory; scati.com; LinkedIn (people, unverified)",MED. Tech manufacturer with engineers and international projects; dedicated HR Manager makes outreach clean.,enriched,info@scati.com,noemi.guiote@scati.com; arancha.felix@scati.com — first.last (RocketReach 70%) (UNVERIFIED)
Technetix S.L.,PLAZA Logística (plazalogistica.com),Broadband / CaTV-MSO technology development (Telecommunications),"PLAZA, Zaragoza — C/Terracina 11, Parcela ALI 5.4, 50197 (group HQ UK/NL)","Subsidiary of Technetix group (UK/NL HQ, ~11K followers)",es-es.technetix.com,,976 463 250,linkedin.com/company/technetix,,,,No public email found,,,,"PLAZA directory; LinkedIn (company, unverified)","MED-HIGH. Multinational tech, Zaragoza site (engineers/expats). CONFIRMED no Spain-specific HR on LinkedIn — approach UK HR or local site manager.",partial,None found verbatim,"Pattern undetermined — group first.last@technetix.com (RocketReach 80%), no named contact"
4fores,PLAZA Logística (plazalogistica.com),Renewable energy / power-systems engineering — grid integration of renewables (R&D spin-off),"PLAZA, Zaragoza — C/Celsa 17, Parcela ALI 6.4, 50197",11-50 (LinkedIn); fast-growing applied-R&D,www.4fores.es,info@4fores.es,976 126 641,linkedin.com/company/4fores,,,,No HR-specific mailbox found — general info@4fores.es,,,,"PLAZA directory; 4fores.es (Contacto); LinkedIn (company, unverified)",LOW-MED. Renewables engineering/field-testing SME (has a careers page). Mostly technical staff; no named HR/leadership surfaced. Modest relocation need.,partial,"info@4fores.es; dlopez@4fores.es (Diego Lopez, CEO)",finitial+last implied by dlopez@ (unconfirmed); Pattern undetermined for HR
Angel Gabardos,PLAZA Logística (plazalogistica.com),Textile manufacturing — headwear (caps/hats/berets) & uniforms,"PLAZA, Zaragoza — C/Caravins 36, Parcela ALI 6.1, 50197",11-50 (LinkedIn),www.gabardos.com,info@gabardos.com,976 737 249,linkedin.com/company/angel-gabardos-galindo-sucesores-sl,,,,No HR mailbox — general info@gabardos.com only,Pattern undetermined (only generic info@gabardos.com). Low-confidence guess agabardos@gabardos.com — UNVERIFIED guess.,Abel Gabardós Riba (legal representative / administrador),Not published — only general info@gabardos.com,"PLAZA directory; gabardos.com (Aviso legal); LinkedIn (company, unverified)",LOW. Small textile manufacturer (military/uniform headwear); no HR dept — owner is the contact. Low relocation need.,enriched,info@gabardos.com,abel.gabardos@gabardos.com / agabardos@gabardos.com — no pattern observed (UNVERIFIED); Pattern undetermined
Berdiel Manutención,PLAZA Logística (plazalogistica.com),"Material-handling & public-works machinery (forklifts, rental, recycling) — part of Berdiel S.L. (Transportation/Logistics)","PLAZA, Zaragoza — C/Trapani 2, 50197 (2nd site: La Cartuja Baja, Zaragoza)",11-50 (LinkedIn),berdiel.es,rberdiel@berdiel.es,876 242 203 / 639 970 157,linkedin.com/company/berdiel,,,,rberdiel@berdiel.es — CONFIRMED on company site (owner Ricardo Berdiel; also the general inbox),rberdiel@berdiel.es — CONFIRMED (published on berdiel.es as Ricardo Berdiel's address; pattern first-initial+last).,Ricardo Berdiel Grasa,rberdiel@berdiel.es (published on site; owner address),"PLAZA directory; berdiel.es (Aviso legal/Contacto); LinkedIn (people, unverified)",MED. SME forklift/machinery dealer & full-service rental; no HR dept — approach CEO/owner directly. Some site/PRL staff.,enriched,"rberdiel@berdiel.es (owner Ricardo Berdiel, verbatim); berdiel@berdiel.es",rberdiel@berdiel.es already verbatim (finitial+last) — no inference needed
Corporación Diversis,PLAZA Logística (plazalogistica.com),"Diversified group — logistics/textile packaging & services (Transportation, Logistics, Supply Chain)","PLAZA, Zaragoza — C/Castillo de Capua 10, 50197",51-200 (LinkedIn),www.diversiscorporacion.org,comunicacion@diversiscorporacion.org,976 75 00 72,linkedin.com/company/diversis-corporación,Carlos Casañal Pina,"Director de RR.HH., Diversis Corporación (& Stylepack S.L.)",Not published — LinkedIn only,No HR mailbox — general comunicacion@diversiscorporacion.org only,Pattern undetermined (only generic comunicacion@). Low-confidence guess ccasanal@diversiscorporacion.org — UNVERIFIED guess.,Javier Carrasco Castillo (Dir. General); Pedro Masats (Presidente Fundador),Not published — LinkedIn only,"PLAZA directory; diversiscorporacion.org; LinkedIn (company+people, unverified)",MED-HIGH. 51-200 staff logistics/services group with a dedicated HR Director — clean direct contact.,enriched,comunicacion@diversiscorporacion.org (individual emails masked on RocketReach: j******@),"carlos.casanal@diversiscorporacion.org; javier.carrasco@diversiscorporacion.org — first.last (RocketReach 40% top; accents dropped, n->n) (UNVERIFIED) [VERIFIED: first.last corroborated for carlos.casanal@]"
Don Pato Wash,PLAZA Logística (plazalogistica.com),Car wash & automotive valeting services,"PLAZA, Zaragoza — Avenida Diagonal 12, Parcela A.S.1.2, 50197",,www.donpatowash.com,autolavado@donpatowash.com,876 768 129,,,,,No HR-specific mailbox found — general autolavado@donpatowash.com,,,,PLAZA directory; company site,LOW. Small local service business; minimal relocation need.,partial,autolavado@donpatowash.com,Pattern undetermined (generic mailbox only)
Elk Sport,PLAZA Logística (plazalogistica.com),Sports & playground equipment supplier (schools/groups),"PLAZA, Zaragoza — C/Caravis 16, Nave 2, 50197",,www.elksport.com,info@elksport.com,976 463 820,,,,,No HR-specific mailbox found — general info@elksport.com,,,,PLAZA directory; company site,LOW. SME distributor; low relocation need.,partial,info@elksport.com; webmaster@elksport.com,Pattern undetermined (no named contact)
Escanilla Diseño-Decoración S.L.,PLAZA Logística (plazalogistica.com),Interior design & decoration,"PLAZA, Zaragoza — C/Tarento Nave 7 / Paseo de Rosales 20-22, 50197",,www.escanilla.net,decoracion@escanilla.net,976 593 925,,,,,No HR-specific mailbox found — general decoracion@escanilla.net,,,,"PLAZA directory; company site (email accent-cleaned, INFERRED spelling)",LOW. Small design firm; low relocation need.,partial,decoracion@escanilla.net,Pattern undetermined (generic mailbox only)
Farmalogic,PLAZA Logística (plazalogistica.com),Pharmaceutical central-purchasing & distribution (est. 2011),"PLAZA, Zaragoza — C/Bílbilis 18, Nave C57, 50197",Small (LinkedIn presence minimal); Personal Care Product Mfg,www.farmalogic.com,dt@farmalogic.com,876 269 574,linkedin.com/company/plaza-farmalogic-sl,,,,No HR-specific mailbox found — general dt@farmalogic.com,,,,"PLAZA directory; farmalogic.com; LinkedIn (company, unverified)",MED. Pharma/personal-care distribution. Minimal LinkedIn footprint; no HR contact found — approach via general email dt@farmalogic.com.,partial,dt@farmalogic.com; gerencia@farmalogic.com (Empresite),Pattern undetermined (no named contact)
Gote Aragón,PLAZA Logística (plazalogistica.com),Telecommunications — telecom systems/services (30+ yrs),"PLAZA, Zaragoza — C/Castillo de Capua 10, Parcela ALI 10.3.1, Nave 10, 50197",,www.gote.com,comercial@gtlan.com,976 565 127,,,,,No HR-specific mailbox found — general comercial@gtlan.com,,,,PLAZA directory; company site,MED. Telecom SME; field/install teams.,partial,comercial@gtlan.com; ncallejero@gote.com (Aragon commercial agent),finitial+last@gote.com implied by ncallejero@ (unconfirmed); Pattern undetermined
Grupo Coviar,PLAZA Logística (plazalogistica.com),Security & surveillance services (people & asset protection),"PLAZA, Zaragoza — C/Osca 1, oficinas, 50197",,www.coviar.es,atencionalcliente@coviar.com,902 474 547,"No company page found (Coviar SL, CIF B50158468)",,,,No HR mailbox — web form (coviar.es/trabaja-con-nosotros) + InfoJobs; general contacto@coviar.com,,,,PLAZA directory; company site,MED. Security-services group; general email + phone only. No LinkedIn page and no named contact published — 2nd-pass would need a phone call.,partial,atencionalcliente@coviar.com; contacto@coviar.com; cra@coviar.com,firstname@coviar.com convention (RocketReach); no named contact (UNVERIFIED if applied)
Industrias J. Cortes,PLAZA Logística (plazalogistica.com),Manufacture/sale of hydraulic & pneumatic components for industrial vehicles (PTOs),"PLAZA, Zaragoza — C/Alaun 24, Parcela ALI 9.13, 50197",,www.industriasjcortes.com,industriasjcortes@industriasjcortes.com,976 503 578,,,,,No HR-specific mailbox found — general industriasjcortes@industriasjcortes.com,,,,PLAZA directory; company site,MED. Manufacturer; production staff. 2nd-pass candidate.,partial,industriasjcortes@industriasjcortes.com,Pattern undetermined (generic mailbox only)
Infocopy (Informática y Sistemas de Copiado S.L.),PLAZA Logística (plazalogistica.com),Office printing/copier systems (Kyocera distributor) & IT,"PLAZA, Zaragoza — C/Tarento, Parcela ALI 4, Nave 1, 50197",,www.infocopy.es,comercial@infocopy.es,976 40 30 00,,,,,No HR mailbox — InfoJobs; general comercial@infocopy.es,,,,PLAZA directory; company site,LOW-MED. IT/office-systems SME; low relocation need.,partial,comercial@infocopy.es,Pattern undetermined (no named contact)
Lavaal Iberica – PTA,PLAZA Logística (plazalogistica.com),Distribution of accessories for aluminium & PVC joinery,"PLAZA, Zaragoza — C/Pertusa 5, Parcela ALI 10.3.2, Naves 1-3, 50197",,www.lavaaliberica.com,info@lavaaliberica.com,976 529 044,,,,,No HR-specific mailbox found — general info@lavaaliberica.com,,,,PLAZA directory; company site,LOW. SME distributor; low relocation need.,partial,info@lavaaliberica.com,Pattern undetermined (generic mailbox only)
Materiales de Construcción Expocanal,PLAZA Logística (plazalogistica.com),Construction materials distribution,"PLAZA, Zaragoza — C/Ronda del Aeropuerto 11, Parcela 15.1, 50197",,www.expocanal.es,info@expocanal.es,976 33 60 87,,,,,No HR-specific mailbox found — general info@expocanal.es,,,,PLAZA directory; company site,LOW. Construction-materials SME; low relocation need.,partial,info@expocanal.es; exposicion@expocanal.es,Pattern undetermined (generic mailboxes only)
Mercatotal S.A.,PLAZA Logística (plazalogistica.com),Wholesale distribution of major sports brands,"PLAZA, Zaragoza — C/Tarento, Naves 21 & 21A, 50197",11-50 (LinkedIn),www.mercatotal.es,mercatotal@mercatotal.es,,linkedin.com/company/mercatotal,,,,No HR-specific mailbox found — general mercatotal@mercatotal.es,,,,"PLAZA directory; mercatotal.es; LinkedIn (company, unverified)",MED. Sports-goods wholesaler (since 1981). No HR/leadership name surfaced on LinkedIn (commercial/warehouse staff only) — 2nd-pass via phone/website.,partial,rrss@mercatotal.es; mercatotal@mercatotal.es (seed),Pattern undetermined (no named contact)
Qualimax Internacional S.L. (JOCCA),PLAZA Logística (plazalogistica.com),Home products manufacturing & distribution (30 yrs),"PLAZA, Zaragoza — C/Tarraca 12, Parcela ALI 14_7, 50197",,www.jocca.es,jocca@jocca.es,976 470 648,,,,,No HR-specific mailbox found — general jocca@jocca.es,,,,PLAZA directory; company site,MED. Consumer-goods SME/manufacturer; medium relocation potential.,partial,info@jocca.es,Pattern undetermined (no public pattern observed)
Repuestos Fuster S.L.,PLAZA Logística (plazalogistica.com),Manufacture & sale of tractor / agricultural spare parts,"PLAZA, Zaragoza — C/Turiaso 28, Parcela ALI 6.2.3, 50197",,www.repuestosfuster.com,fuster@repuestosfuster.com,976 77 07 96,,,,,No HR-specific mailbox found — general fuster@repuestosfuster.com,,,,PLAZA directory; company site,LOW-MED. SME parts manufacturer; low-medium relocation need.,partial,info@repuestosfuster.com (current); fuster@repuestosfuster.com (older),Pattern undetermined (no named contact)
Serecon 97,PLAZA Logística (plazalogistica.com),"Wholesale distribution (14,000 m² facility — appliances/electronics)","PLAZA, Zaragoza — C/Messina 4, Parcela ALI 9.10, 50197",,www.serecon97.com,,902 883 588,None found,,,,No public email found,,,,PLAZA directory,MED (mid-size distributor) but website has an SSL/privacy error (inaccessible) and no LinkedIn page — no email findable. Phone only (902 883 588). Genuinely no contactable email.,list-only,serecon97@serecon97.com; serecon97@gruposerecon.com,Pattern undetermined (legal page behind anti-bot wall)
Teral S.L.,PLAZA Logística (plazalogistica.com),Environmental services — food-waste treatment & disposal,"PLAZA, Zaragoza — C/Bílbilis 18, Parcela ALI 3_34, Nave C52, 50197",,www.teralsl.com,info@teralsl.com,876 768 542,,,,,No HR-specific mailbox found — general info@teralsl.com,,,,PLAZA directory; company site,LOW. Environmental-services SME; low relocation need.,partial,info@teralsl.com,Pattern undetermined (no named contact)
Torres Equipamientos de Oficinas S.L.,PLAZA Logística (plazalogistica.com),Office furniture & interior fit-out (35+ yrs),"PLAZA, Zaragoza — C/Castillo de Capua 10, Nave 8, 50197",,www.torresoficinas.com,comercial@torresoficinas.com,976 436 211,,,,,No HR-specific mailbox found — general comercial@torresoficinas.com,,,,PLAZA directory; company site,LOW. Office-furniture SME; low relocation need.,partial,comercial@torresoficinas.com; gerencia@torresoficinas.com,Pattern undetermined (no named contact)
Totalsport Gestión S.L.,PLAZA Logística (plazalogistica.com),Sports equipment services & purchasing centre (group),"PLAZA, Zaragoza — C/Tarento, Naves 21 & 21A, 50197",,www.grupototalsport.es,info@grupototalsport.es,976 159 000,,,,,No HR-specific mailbox found — general info@grupototalsport.es,,,,PLAZA directory; company site,MED. Sports-retail purchasing group; medium relocation potential.,partial,"info@grupototalsport.com (operating domain is .com, not .es)",Pattern undetermined (no named contact)
Grupo Sesé,Company registry/directory (eInforma/elEconomista/Axesor) + LinkedIn,"Logistics & supply-chain management / transport (Transportation, Logistics, Supply Chain)","Zaragoza HQ — C/ Virgen del Buen Acuerdo, 50014; operations worldwide","10,001+ (LinkedIn)",www.gruposese.com,comunicacionymarketing@gruposese.com (+ delegacion.nacionalzaragoza@gruposese.com),976 455 800,linkedin.com/company/gruposese,Teresa Díaz Bello (+ Ignacio Benedico Ortega),"Responsable RRHH / HRBP, Talent (Ignacio: HR Manager — Industrial & Automotive)",Not published — LinkedIn only,Dedicated recruitment brand 'Sesé Talent' (linkedin.com/company/sesé-talent); apply via gruposese.com careers,"teresa.diaz@gruposese.com — INFERRED (pattern first.last 94.9%, RocketReach); alt teresa.diazbello@ / tdiaz@. Unverified.",,,"eInforma/elEconomista; gruposese.com; LinkedIn (company+people, unverified)","TOP TARGET. Zaragoza-HQ global logistics group (10,000+); constant ops/industrial hiring & relocation — very strong corporate-housing fit.",enriched,comunicacionymarketing@gruposese.com; delegacion.nacionalzaragoza@gruposese.com,teresa.diaz@gruposese.com; ignacio.benedico@gruposese.com — first.last (RocketReach 94.9% / LeadIQ 81%) (UNVERIFIED) [VERIFIED: first.last confirmed 94.9%]
Saica,Company registry/directory (eInforma/elEconomista/Axesor) + LinkedIn,"Paper, packaging & paper-recovery — Manufacturing (Paper & Forest Products)",Zaragoza HQ; production plants across Europe,"10,001+ (LinkedIn)",www.saica.com,No public general email — Contacto via web form,976 (HQ switchboard via saica.com),linkedin.com/company/saica-group,Eva Bellido (+ Marta del Real Roca),"Directora de RRHH Aragón/Navarra/La Rioja, Saica (Marta: Técnico de RRHH)",Not published — LinkedIn only,No public HR mailbox — careers via saica.com,"eva.bellido@saica.com — INFERRED (pattern first.last 85.3%, RocketReach); alt ebellido@saica.com. Unverified.",,,"eInforma/elEconomista; saica.com; LinkedIn (people, unverified)","TOP TARGET. Zaragoza-HQ multinational manufacturer (10,000+); regional HR director identified; shift/relocation staff housing plausible.",enriched,None found verbatim (web form only); communication@saica.com; compliance@saica.com; spain.pack@saica.com,eva.bellido@saica.com; marta.delreal@saica.com — first.last (LeadIQ 85.3%) (UNVERIFIED) [VERIFIED: first.last confirmed 85.3%]
Grupo SAMCA,Company registry/directory (eInforma/elEconomista/Axesor) + LinkedIn,"Diversified industrial group — mining, renewables, plastics, synthetic fibres, agribusiness (Mining/Industrial)","Zaragoza — Paseo Independencia 21, 50001","1,001-5,000 (LinkedIn)",www.gruposamca.com,samca@samca.com,976 216 129,linkedin.com/company/grupo-samca,Salvador Sánchez Pérez (+ David Carreras García),Director del Área de Personas (David: Responsable de RRHH),Not published — LinkedIn only,No public HR mailbox — general samca@samca.com,"salvador.sanchez@gruposamca.com — INFERRED (pattern first.last 83.8%, RocketReach); alt ssanchez@gruposamca.com. Unverified.",,,"eInforma/Axesor; gruposamca.com; LinkedIn (company+people, unverified)",TOP TARGET. Major Zaragoza-HQ industrial conglomerate; dedicated People director; multi-site relocation housing plausible.,enriched,samca@samca.com (generic; corporate domain),salvador.sanchez@gruposamca.com; david.carreras@gruposamca.com — first.last employee pattern (RocketReach 83.8%) (UNVERIFIED) [VERIFIED: confirmed 83.8%]
Hiberus Tecnología,Company registry/directory (eInforma/elEconomista/Axesor) + LinkedIn,"IT services, consulting & software (IT Services and IT Consulting)",Zaragoza HQ; offices nationwide & abroad,"1,001-5,000 (LinkedIn)",www.hiberus.com,No public general email — Contacto via web form,(via hiberus.com),linkedin.com/company/hiberus,Verónica Encinas Alberca (+ Laura Moreno de Andrés),HRBP People & Culture (Laura: HRBP / IT Talent Acquisition),Not published — LinkedIn only,No public HR mailbox — large Talent team; careers via hiberus.com,"vencinas@hiberus.com — INFERRED (pattern first-initial+last 100%, RocketReach); alt lmoreno@hiberus.com (Laura Moreno). Unverified.",,,"eInforma; hiberus.com; LinkedIn (company+people, unverified)",TOP TARGET (IT relocation). Zaragoza-HQ tech firm hiring IT talent nationally/internationally; large People & Culture function — prime corporate-housing fit.,enriched,info@hiberus.com; dpo@hiberus.com,veronica.encinas@hiberus.com; laura.moreno@hiberus.com — first.last (RocketReach ~90%) (UNVERIFIED) [VERIFIED: confirmed 90.2%]
